first_name,second_name,goals_scored,assists,total_points,minutes,goals_conceded,creativity,influence,threat,bonus,bps,ict_index,clean_sheets,red_cards,yellow_cards,selected_by_percent,now_cost,element_type
Lucas,Digne,1,0,50,1492,25,305.5,277.6,97.0,4,234,68.1,3,0,5,1.2,45,DEF
Bertrand,Traoré,2,0,20,226,1,30.7,82.0,79.0,1,57,19.0,1,0,1,0.1,49,MID
Robin,Olsen,0,0,10,280,8,0.0,83.2,0.0,1,62,8.2,1,0,0,1.4,39,GK
Morgan,Sanson,0,0,2,10,1,0.5,4.2,0.0,0,6,0.4,0,0,0,0.2,43,MID
John,McGinn,1,5,90,2692,31,353.6,382.0,347.0,3,354,108.3,10,0,7,0.6,51,MID
Kortney,Hause,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,44,DEF
Tyrone,Mings,1,3,130,3150,40,88.2,664.4,121.0,17,617,87.8,12,0,7,12.5,47,DEF
Ollie,Watkins,15,8,175,3129,40,420.3,837.6,1308.0,25,550,256.7,13,0,4,12.8,73,FWD
Marvelous,Nakamba,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,43,MID
Emiliano,Buendía Stati,5,3,117,2404,34,559.9,441.6,582.0,8,370,158.5,11,0,0,0.7,57,MID
Matty,Cash,0,2,57,1817,29,178.3,303.0,67.0,3,311,54.9,4,0,4,3.1,46,DEF
Ezri,Konsa Ngoyo,0,0,110,3322,45,116.2,568.4,72.0,6,633,75.7,12,0,6,1.0,44,DEF
Leon,Bailey,4,5,100,1964,32,452.8,339.6,540.0,6,242,132.8,8,0,4,2.7,43,MID
Douglas Luiz,Soares de Paulo,6,7,142,2922,35,668.6,698.4,261.0,17,594,162.7,13,1,6,1.0,48,MID
Jacob,Ramsey,6,8,135,2634,33,537.8,653.4,456.0,13,470,164.7,11,0,5,1.5,51,MID
Tim,Iroegbunam,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45,MID
Diego Carlos,Santos Silva,0,0,4,205,3,13.2,24.8,32.0,0,20,7.0,0,0,0,0.2,47,DEF
Anwar,El Ghazi,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,48,MID
Keinan,Davis,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,54,FWD
Boubacar,Kamara,0,1,44,1773,30,124.7,288.2,43.0,0,235,45.7,3,0,4,0.1,48,MID
Cameron,Archer,0,0,6,43,1,2.4,1.8,6.0,0,13,0.9,0,0,0,1.7,42,FWD
Jaden,Philogene-Bidace,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45,MID
Frédéric,Guilbert,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.6,39,DEF
Leander,Dendoncker,0,0,37,897,14,96.1,143.4,64.0,0,163,30.6,4,0,0,0.1,47,MID
Ludwig,Augustinsson,0,0,2,76,0,1.9,5.6,35.0,0,5,4.2,0,0,1,0.0,43,DEF
Kaine,Kesler Hayden,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,40,DEF
Ashley,Young,1,0,87,2031,28,223.4,380.2,81.0,8,388,68.7,9,0,7,0.8,43,DEF
Lamare,Bogarde,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,40,DEF
Filip,Marschall,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,40,GK
Kadan,Young,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45,MID
Alexandre,Moreno Lopera,0,3,72,1325,10,321.1,254.4,151.0,5,278,72.3,7,0,3,2.1,45,DEF
Viljami,Sinisalo,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,40,GK
Jhon,Durán,0,0,11,126,4,13.4,12.8,51.0,0,15,7.4,0,0,1,0.0,55,FWD
Sil,Swinkels,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,40,DEF
Oliwier,Zych,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,40,GK
James,Wright,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,40,GK
Sebastian,Revan,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,40,DEF
Travis,Patterson,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45,MID
Tommi,O'Reilly,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45,MID
Adam,Smith,0,1,74,2940,58,276.9,416.6,88.0,5,400,78.3,7,0,11,0.2,43,DEF
Junior,Stanislas,0,0,4,58,1,22.9,10.0,7.0,0,13,3.9,0,0,0,0.0,48,MID
Ryan,Fredericks,0,0,12,527,11,26.7,66.0,12.0,0,63,10.6,0,0,1,0.0,44,DEF
David,Brooks,0,0,5,170,4,28.8,17.6,42.0,0,7,8.7,0,0,1,0.0,53,MID
Jamal,Lowe,0,0,2,11,0,0.3,0.2,0.0,0,6,0.1,0,0,0,0.0,52,MID
Kieffer,Moore,4,0,57,1269,34,100.1,219.4,280.0,3,161,59.5,3,0,1,0.7,49,FWD
Emiliano,Marcondes,0,0,1,8,1,0.0,1.2,0.0,0,3,0.1,0,0,0,0.0,47,MID
Jefferson,Lerma Solís,5,0,101,3252,67,296.4,619.2,312.0,5,500,122.7,7,0,7,0.5,47,MID
Jack,Stacey,0,0,6,293,10,8.6,44.2,8.0,0,36,6.0,0,0,2,0.0,42,DEF
Dominic,Solanke,6,10,130,2865,52,282.1,528.8,1053.0,14,339,185.7,8,0,2,3.6,56,FWD
Lewis,Cook,0,2,51,1712,39,352.5,313.0,45.0,1,280,71.2,3,0,4,0.1,49,MID
Ben,Pearson,0,0,9,282,10,6.4,21.0,9.0,0,32,3.7,1,0,1,0.1,44,MID
Ryan,Christie,1,2,64,1825,35,423.5,284.2,402.0,2,225,111.1,3,0,2,0.1,53,MID
Philip,Billing,7,2,126,2766,54,401.1,637.4,445.0,14,475,148.4,9,0,5,0.9,50,MID
Chris,Mepham,0,0,43,2197,52,54.4,556.4,134.0,6,369,74.4,5,0,7,0.1,43,DEF
Mark,Travers,0,0,28,1035,32,0.0,290.0,0.0,1,193,29.1,2,0,0,0.4,41,GK
Lloyd,Kelly,0,2,60,2040,38,114.0,419.8,26.0,5,372,56.3,5,0,3,0.5,43,DEF
Siriki,Dembélé,0,0,6,104,2,52.3,31.8,28.0,0,20,11.3,0,0,0,0.1,47,MID
Jaidon,Anthony,3,1,61,1241,29,209.3,308.6,263.0,4,193,78.1,2,0,2,0.1,52,MID
Jordan,Zemura,0,1,47,1452,31,232.8,269.4,71.0,1,235,57.1,5,0,1,0.1,42,DEF
Will,Dennis,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.4,39,GK
Jack,Stephens,0,0,35,1218,24,57.3,270.0,51.0,1,233,38.0,4,0,3,0.0,43,DEF
Joe,Rothwell,0,1,33,1010,15,153.3,127.4,27.0,0,167,30.6,3,0,1,0.0,49,MID
Marcus,Tavernier,5,4,94,1740,37,348.4,459.8,436.0,12,315,124.2,5,0,1,0.2,47,MID
James,Hill,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,44,DEF
Darren,Randolph,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,40,GK
Norberto,Murara Neto,0,0,93,2385,39,0.0,727.6,0.0,9,510,72.8,6,0,4,0.6,45,GK
Marcos,Senesi,2,0,69,2489,55,79.1,602.2,113.0,5,462,79.6,5,0,7,0.2,44,DEF
Christian,Saydee,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45,FWD
Owen,Bevan,0,0,1,8,1,0.0,0.2,0.0,0,3,0.0,0,0,0,0.0,40,DEF
Cameron,Plain,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,40,GK
Daniel,Adu-Adjei,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45,FWD
Michael,Dacosta Gonzalez,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,44,MID
Dominic,Sadi,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45,FWD
Dango,Ouattara,1,3,49,1239,23,262.5,280.8,283.0,4,163,82.5,1,0,1,0.0,50,MID
Euan,Pollock,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45,FWD
Antoine,Semenyo,1,0,18,250,6,26.5,50.0,32.0,1,56,10.7,0,0,0,0.0,50,FWD
Matías,Viña,2,0,28,452,10,28.5,163.8,99.0,0,93,29.2,1,0,1,0.1,45,DEF
Illia,Zabarnyi,0,0,7,297,5,1.4,58.0,0.0,0,54,5.8,0,0,0,0.0,45,DEF
Hamed,Traorè,0,0,14,425,8,218.5,84.0,36.0,0,60,33.8,2,0,0,0.0,45,MID
Ben,Greenwood,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,40,DEF
Max,Kinsey-Wellings,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,40,DEF
Pontus,Jansson,1,0,29,722,14,2.5,176.2,53.0,0,147,23.4,2,0,0,0.3,42,DEF
Christian,Nørgaard,1,6,71,1763,23,173.7,379.2,269.0,6,309,82.3,6,0,6,0.2,53,MID
Ivan,Toney,20,4,182,2953,42,424.3,926.8,1240.0,35,607,258.7,10,0,9,18.2,71,FWD
David,Raya Martin,0,0,166,3420,46,20.1,1146.0,4.0,20,822,117.3,12,0,1,14.4,48,GK
Sergi,Canós Tenés,0,0,5,73,2,13.5,7.0,6.0,0,14,2.8,0,0,0,0.1,50,DEF
Josh,Dasilva,4,2,81,1371,17,208.5,305.8,182.0,3,274,69.6,5,0,1,3.8,41,MID
Kristoffer,Ajer,0,0,29,763,14,24.7,96.8,27.0,0,129,15.1,4,0,0,0.1,45,DEF
Rico,Henry,0,3,112,3240,46,411.5,460.0,197.0,4,505,107.0,11,0,4,2.6,44,DEF
Vitaly,Janelt,3,1,85,2201,28,258.8,411.2,243.0,5,357,91.3,8,0,3,0.1,55,MID
Saman,Ghoddos,0,0,15,124,5,62.9,27.2,21.0,0,53,11.1,0,0,0,0.0,48,MID
Mathias,Jensen,5,7,132,2805,40,787.9,644.0,208.0,11,498,164.1,10,0,5,1.8,48,MID
Yoane,Wissa,7,4,111,1587,17,185.3,366.2,424.0,6,292,96.8,7,0,3,0.3,53,MID
Mads,Roerslev Rasmussen,0,0,48,1101,12,120.7,167.6,46.0,0,201,33.4,5,0,0,0.1,43,DEF
Mads,Bech Sørensen,0,0,4,18,0,0.2,2.6,0.0,0,12,0.2,0,0,0,0.0,45,DEF
Ethan,Pinnock,3,0,112,2700,34,110.1,840.8,319.0,6,575,127.2,10,0,0,0.9,44,DEF
Frank,Onyeka,0,3,38,837,11,93.7,136.4,111.0,0,111,34.2,3,0,0,0.0,48,MID
Shandon,Baptiste,0,2,29,600,6,144.5,112.8,54.0,0,123,31.2,1,1,1,0.2,45,MID
Bryan,Mbeumo,9,9,150,2905,39,808.6,692.6,895.0,19,556,239.5,10,0,5,4.0,57,FWD
Charlie,Goode,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.4,39,DEF
Marcus,Forss,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45,FWD
Dominic,Thompson,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,40,DEF
Mads,Bidstrup,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45,MID
Ellery,Balcombe,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,40,GK
Aaron,Hickey,0,3,63,1918,30,120.7,227.4,102.0,2,310,45.1,5,0,7,0.3,49,DEF
Keane,Lewis-Potter,0,1,14,313,4,64.0,42.0,114.0,0,37,21.9,0,0,0,0.0,52,MID
Thomas,Strakosha,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,43,GK
Ben,Mee,3,2,143,3269,40,103.1,780.6,336.0,11,643,122.2,12,0,2,14.4,48,DEF
Fin,Stevens,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,40,DEF
Halil,Dervişoğlu,0,1,4,6,0,0.0,0.0,10.0,0,11,1.0,0,0,0,0.5,45,FWD
Mikkel,Damsgaard,0,0,33,970,14,172.1,140.2,152.0,0,131,46.5,3,0,4,0.1,50,MID
Mathias,Jorgensen,0,1,45,1097,15,39.4,203.2,54.0,4,191,30.0,4,0,2,0.9,39,DEF
Ryan,Trevitt,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,44,MID
Matthew,Cox,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,39,GK
Tristan,Crama,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,40,DEF
Yegor,Yarmolyuk,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45,MID
Kevin,Schade,0,1,29,723,7,115.5,74.4,209.0,0,76,39.8,3,0,2,0.0,49,MID
Michael,Olakigbe,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45,MID
Adam,Lallana,2,1,47,717,10,186.7,144.2,152.0,4,146,48.5,5,0,0,0.1,48,MID
Jason,Steele,0,1,65,1350,23,13.0,377.6,0.0,8,332,39.1,6,0,1,6.0,40,GK
Danny,Welbeck,6,5,91,1844,28,390.6,378.2,782.0,5,296,155.4,6,0,0,2.1,65,FWD
Pascal,Groß,9,8,159,3240,51,1227.5,918.6,582.0,14,748,273.2,11,0,7,11.0,54,MID
Lewis,Dunk,1,1,112,3240,50,163.6,661.4,198.0,7,648,102.4,12,0,4,8.2,48,DEF
Solly,March,6,10,147,2719,40,965.8,791.8,955.0,16,559,271.4,10,0,2,4.4,52,MID
Adam,Webster,0,0,75,1983,27,104.3,361.8,126.0,3,405,59.2,9,0,2,0.5,45,DEF
Joël,Veltman,1,1,95,2183,29,201.3,407.2,162.0,6,447,77.4,10,0,6,2.4,46,DEF
Robert,Sánchez,0,0,82,2070,30,0.1,439.0,0.0,10,380,43.9,6,0,2,7.6,44,GK
Tariq,Lamptey,0,0,23,439,7,87.2,70.6,48.0,0,91,20.6,1,0,1,0.9,42,DEF
Steven,Alzate,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,44,MID
Alexis,Mac Allister,10,2,140,2882,45,746.4,750.8,714.0,18,567,221.3,10,0,8,14.7,56,MID
Jakub,Moder,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,44,MID
Enock,Mwepu,0,1,11,209,4,39.0,48.8,34.0,0,29,12.2,0,0,0,0.0,53,MID
Jeremy,Sarmiento Morante,0,2,16,168,2,38.2,46.6,50.0,0,40,12.9,1,0,1,0.0,45,MID
Moisés,Caicedo Corozo,1,1,79,3138,47,680.4,589.8,210.0,0,503,148.2,10,0,10,0.4,50,MID
Taylor,Richards,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45,MID
Haydon,Roberts,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,40,DEF
Deniz,Undav,5,2,52,614,9,124.0,196.4,372.0,4,173,69.1,2,0,2,0.8,50,FWD
Kaoru,Mitoma,7,9,138,2311,35,569.4,569.6,867.0,11,457,200.4,8,0,0,27.3,57,MID
Julio,Enciso,4,3,57,794,12,177.5,262.8,399.0,7,189,83.8,4,0,1,2.4,46,FWD
Kacper,Kozłowski,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45,MID
Billy,Gilmour,0,1,21,502,8,56.5,67.6,33.0,0,105,15.8,2,0,1,0.4,42,MID
Kjell,Scherpen,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,40,GK
Matt,Clarke,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,40,DEF
Jan Paul,van Hecke,0,0,6,291,7,5.8,71.4,10.0,0,54,8.8,0,0,2,0.3,40,DEF
Levi,Colwill,0,2,46,1218,21,101.9,236.2,50.0,6,249,38.9,3,0,1,0.2,44,DEF
Pervis,Estupiñán,1,7,128,2674,43,757.9,575.2,297.0,15,593,162.5,10,0,4,20.5,50,DEF
Evan,Ferguson,6,2,65,942,12,150.4,286.2,361.0,8,213,79.9,6,0,1,1.7,46,FWD
Ed,Turns,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,40,DEF
Andrew,Moran,0,0,1,11,1,0.0,0.0,0.0,0,3,0.0,0,0,0,0.0,45,MID
James,Furlong,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,40,DEF
Jack,Hinshelwood,0,0,1,1,0,0.0,2.0,2.0,0,3,0.4,0,0,0,0.0,45,MID
Facundo,Buonanotte,1,1,26,558,12,100.9,90.0,102.0,2,72,28.5,1,0,2,0.1,45,MID
Yasin,Ayari,0,0,3,65,2,25.5,7.4,3.0,0,14,3.5,0,0,0,0.0,45,MID
Odeluga,Offiah,0,0,1,23,3,1.5,6.2,0.0,0,10,0.8,0,0,0,0.0,40,DEF
Tom,McGill,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,40,GK
Cameron,Peupion,0,0,1,5,2,0.3,0.0,5.0,0,3,0.5,0,0,0,0.0,45,MID
Imari,Samuels,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,40,DEF
Carney,Chukwuemeka,0,0,18,342,7,113.5,66.0,78.0,0,71,25.7,1,0,0,0.3,42,MID
Marc,Cucurella Saseta,0,2,65,1669,20,232.5,354.4,72.0,1,363,65.9,6,0,4,5.0,49,DEF
César,Azpilicueta,0,0,45,1521,21,211.2,272.0,102.0,4,242,58.4,3,0,3,1.2,47,DEF
Thiago,Emiliano da Silva,0,2,80,2351,32,90.4,676.8,147.0,8,524,91.4,6,0,2,5.7,54,DEF
Marcos,Alonso,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.7,53,DEF
Ross,Barkley,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,49,MID
Mateo,Kovacic,1,2,53,1699,25,365.8,295.8,114.0,2,289,77.9,4,0,8,0.3,49,MID
Kepa,Arrizabalaga,0,0,118,2565,33,0.1,733.4,0.0,15,575,73.3,9,0,1,6.4,45,GK
N'Golo,Kanté,0,1,18,517,7,186.9,107.0,58.0,1,120,35.2,2,0,1,1.1,48,MID
Hakim,Ziyech,0,3,33,649,7,230.9,155.4,113.0,0,129,49.0,2,0,1,0.4,55,MID
Ruben,Loftus-Cheek,0,1,46,1530,23,260.4,216.6,175.0,1,228,65.4,5,0,1,0.1,50,MID
Timo,Werner,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.2,79,FWD
Robert Kenedy,Nunes do Nascimento,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.2,39,DEF
Ben,Chilwell,2,3,70,1402,19,382.6,283.4,178.0,4,302,84.2,4,0,3,3.1,56,DEF
Christian,Pulisic,1,1,39,805,11,166.8,120.4,227.0,0,102,51.1,3,0,1,0.4,56,MID
Trevoh,Chalobah,0,0,49,1601,24,94.0,294.6,112.0,1,318,50.3,5,0,4,0.6,44,DEF
Mason,Mount,3,4,82,1644,21,463.1,331.4,376.0,8,277,117.2,8,0,4,3.4,72,MID
Malang,Sarr,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,50,DEF
Callum,Hudson-Odoi,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,53,MID
Kai,Havertz,7,1,102,2565,31,536.6,476.4,1014.0,13,301,202.5,9,0,5,3.2,74,FWD
Reece,James,1,2,44,1242,17,358.2,292.2,153.0,5,286,80.4,2,0,4,10.7,58,DEF
Edouard,Mendy,0,0,24,855,14,0.0,200.4,0.0,0,132,20.2,1,0,1,5.8,48,GK
Conor,Gallagher,3,1,66,1608,23,351.5,386.2,329.0,7,279,106.5,4,1,9,0.7,56,MID
Armando,Broja,1,1,21,285,5,18.2,64.6,113.0,0,56,19.7,1,0,0,0.3,52,FWD
Ethan,Ampadu,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,44,DEF
Wesley,Fofana,1,0,37,1362,24,59.6,294.6,86.0,4,244,44.4,2,0,4,1.0,43,DEF
Raheem,Sterling,6,4,101,1886,27,495.4,399.6,647.0,9,274,153.9,5,0,4,3.4,97,MID
Kalidou,Koulibaly,2,1,74,1798,22,104.1,497.4,141.0,8,408,74.5,6,1,5,5.4,55,DEF
Harvey,Vale,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45,MID
Denis,Zakaria,0,0,13,409,5,22.6,44.6,24.0,0,47,9.2,2,0,0,0.0,49,MID
Pierre-Emerick,Aubameyang,1,0,25,546,8,59.4,55.0,177.0,3,61,28.5,1,0,1,0.7,84,FWD
Marcus,Bettinelli,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,40,GK
Omari,Hutchinson,0,0,1,22,0,1.8,1.0,4.0,0,2,0.7,0,0,0,0.0,42,MID
Lewis,Hall,0,0,19,653,11,225.8,134.4,127.0,3,118,48.8,1,0,1,0.0,43,MID
Bashir,Humphreys,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45,DEF
David Datro,Fofana,0,0,3,68,1,34.6,15.2,30.0,0,8,8.0,0,0,0,0.1,50,FWD
Benoît,Badiashile,1,0,40,904,9,49.1,219.8,81.0,2,209,35.1,4,0,2,0.4,50,DEF
João,Félix Sequeira,4,0,44,936,16,136.1,203.6,303.0,7,126,63.1,2,1,1,1.7,71,FWD
Mykhailo,Mudryk,0,2,25,650,10,146.4,100.8,140.0,0,73,38.2,0,0,1,0.8,64,MID
Andrey,Nascimento dos Santos,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45,MID
Noni,Madueke,1,0,26,639,13,170.8,153.8,224.0,2,105,55.0,0,0,0,0.1,54,MID
Enzo,Fernández,0,2,42,1547,25,334.3,315.8,74.0,1,265,72.6,3,0,3,0.8,50,MID
Ethan,Wady,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,40,GK
Alfie,Gilchrist,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,40,DEF
Albert,Sambi Lokonga,0,0,23,728,8,57.2,98.4,20.0,0,129,17.6,2,0,2,0.2,43,MID
Vicente,Guaita,0,0,99,2430,34,0.0,668.4,0.0,10,484,66.8,6,0,1,1.4,44,GK
James,Tomkins,1,0,8,335,10,1.1,90.0,54.0,1,50,14.6,0,1,1,0.8,39,DEF
James,McArthur,0,0,4,50,0,2.0,14.8,0.0,0,13,1.7,0,0,0,0.0,48,MID
